Builder Name,Description,Location,Nearby Highlights,Possession Status,Price,Property Name,Property Type,Total Area
Kreative Solutions,Gulnaar meadows is a premium boutique residential project of sav infosystems llp with unparalleled amenities and unmatched location in zirakpur on ambala - Chandigarh highway Located mere 1 minute fro...,Zirakpur,"East Facing, Gated Society, Overlooking Park/Garden, Fitness Center/ Gym",Q,1.16 Cr,"3 BHK Independent Builder Floor in Zirakpur, Chandigarh",Independent/Builder Floor,
ABS Infra Developers,"Beautiful 3 BHK apartments in Zirakpur, are now available in ABS Golden Era Home housing project. ABS Golden Era Home 's RERA registration number is PBRERA-SAS79-PR0996. ABS Golden Era Home apartments...",Zirakpur,nearby School,"New Launch (Completion in Jan, 2029)",Price on Request,ABS Golden Era Home,,
Motia Group,"Looking for your dream home? Explore 3 BHK apartments in Zirakpur, now available in Motia Blue Ridge. Motia Blue Ridge has apartments in multiple configurations, in range of 1,611 - 1,721 sq.ft.. Apar...",Zirakpur,,"Ready To Move (Since Jun, 2021)",Price on Request,Motia Blue Ridge,,
Azaad Realtors,This is your chance to a 4 bhk apartment / flat for sale in zirakpur chandigarh . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with ...,Zirakpur,"East Facing, Gated Society",I,70 Lac,Ansals Woodbury Apartments Zirakpur,Residential Apartment,
ABS Infra Developers,Plot is east facing. Very close to dlf hyde park and distance of 300 metres from vr5 road. The share in society also includes a commercial portion subject to conditions,New Chandigarh,,I,3.15 Cr,Greater Punjab Society,Residential Land,475
VS Group,"Located in a peaceful place yet v near to market, hospital, facing park, rentable, 3 kms away from it park Handsome rental value as it is near to it park",Manimajra,"Gated Society, Overlooking Park/Garden, Marble Flooring",I,5.5 Cr,"Shivalik Enclave, NAC Sector 13",Independent House/Villa,253
VS Group,"An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in golden palms, dera bassi, india which ensures a relaxed and comfortable stay. Being an in...",Dera Bassi,"Gated Society, Overlooking Main Road, Vitrified Flooring",I,1.1 Cr,Golden Palms,Independent House/Villa,1650
Omaxe Infratech,"Land in Mullanpur are now available for sale in Omaxe Plots Phase 3. Property Staff, Vastu Compliant and 24/7 Water Supply are some of the top amenities available in this project. The dimensions of La...",Mullanpur,,Ready To Move,1.5 - 7.5 Cr,Omaxe Plots Phase 3,,
ABS Infra Developers,"I have a house/villa available for sale in dera bassi, mohali. Available at price of rs 75 lacs. It has plot area of 900 sq ft. It has 5 bhk, 5 bathroom, balcony.It is a freehold property",Dera Bassi,,I,75 Lac,sukhna enclave sec 9,Independent House/Villa,900
Motia Group,"Want to invest in Land in Dera Bassi? Check out Motia Grand, the city's best offering in this category. Land will be offered for possession from May, 2028. Sizes of these property options are in the b...",Dera Bassi,"[{'score': 1759, 'subHeading': '2km', 'caption': 'School', 'category': 'School', 'altTag': 'nearby School', 'srp': {'className': 'schl', 'imageName': 'https://static.99acres.com/universalapp/img/schl....","Under Construction (Completion in May, 2028)",37.91 - 56.86 L,Motia Grand,,
VS Group,Location and direct park views,Dera Bassi,"North Facing, Gated Society, Corner Property",I,1.15 Cr,ATS Golf Meadows Lifestyle,Residential Apartment,
Suksha Developers,"Check out 3 BHK Apartment, 4 BHK Apartment and 3 BHK Independent Floor in Sushma Belleza, one of the best offerings in Zirakpur. Property prices here start from Rs. 1.61 Cr. Sushma Belleza possession ...",Zirakpur,"[{'score': 1750, 'subHeading': '15 m', 'caption': 'Shopping Center/ Market/ Mall', 'category': 'ShoppingCenter', 'altTag': 'nearby Shopping Center/ Market/ Mall', 'srp': {'className': 'shpng', 'imageN...","Under Construction (Completion in Dec, 2027)",1.61 - 1.97 Cr,Sushma Belleza,,
Kreative Solutions,Gulnaar meadows is a premium boutique residential project of sav infosystems llp with unparalleled amenities and unmatched location in zirakpur on ambala - Chandigarh highway Located mere 1 minute fro...,Zirakpur,"Gated Society, Overlooking Park/Garden, Fitness Center/ Gym, Club/ Community Center",Q,1.16 Cr,"3 BHK Independent Builder Floor in Zirakpur, Chandigarh",Independent/Builder Floor,
Malhotra Properties,Residential plot available for sale at omaxe ph3 mullanpur new chandigarh possession able in gated society with 3 tier security near to internatinal cricket stadium Residential land available for sale...,Mullanpur,Overlooking Main Road,I,2 Cr,Omaxe Plots Phase 3,Residential Land,265
Azaad Realtors,333 sq yards plot available in altus phase 2. Prime location plot.,New Chandigarh,"North-East Facing, Close to School, Overlooking Park/Garden, Overlooking Main Road",I,1.37 Cr,Altus Space Builders,Residential Land,2997
VS Group,"510 gaj (17 marla) plot for sale in shivalik vihar, s-Block, nayagaon, (Mohali) punjab. Just 2km from chandigarh, 3km from panjab university, 4km from pgi hospital. Plot size 101 x 45. 20 wide road. G...",Naya Gaon,,I,1.16 Cr,"Residential land / Plot in Naya Gaon, Chandigarh",Residential Land,4545
Azaad Realtors,Available 136 sq yards plot in altus c pocket. Possession in 1 year. Book now by paying booking amount. #newchandigarh #mullanpur #altus #investment #realestate #medicity #stadium #chandigarh,Mullanpur,"Close to School, Close to Hospital, Close to Market, Overlooking Park/Garden",L,85 Lac,Altus Muirwood Ecocity,Residential Land,1224
Rishi Properties & Builders,"This 3 bhk builder floor located in new chandigarh, one of the prime locations in chandigarh, is available for sale. Equipped with 3 bedrooms, 3 bathrooms and 2 balconies. This property is furnished. ...",New Chandigarh,"North Facing, Ground Floor, Private Garden, Close to School",L,1.25 Cr,Omaxe Celestia Royal Premier,Independent/Builder Floor,1328
Rishi Properties & Builders,"This well designed 3 bhk builder floor in mullanpur, chandigarh, is a perfect place for your family. 3 bedrooms, 4 bathrooms and 2 balconies are present in this builder floor. This builder floor is se...",New Chandigarh,"East Facing, Ground Floor, Private Garden, Gated Society",L,1.45 Cr,Omaxe New Chandigarh Gardenia Floors,Independent/Builder Floor,1946
Malhotra Properties,300 sqyd residential plot available for sale at omaxe phase 3 in gated society at new chandigarh mullanpur,Mullanpur,"Close to School, Close to Market, Rain Water Harvesting",I,1.96 Cr,Omaxe New Chandigarh,Residential Land,300
Malhotra Properties,3bhk residential independent floor with servent room east facing available for sale at omaxe new chandigarh mullanpur project omaxe celestia royal 2 at top floor with roof top with lift in gated socie...,Mullanpur,"East Facing, Top Floor, Private Garden, bhawan vidialy within 1km",L,1.32 Cr,Omaxe Celestia Royal,Independent/Builder Floor,
Malhotra Properties,10.5 marla residential plot available for sale at omaxe phase 3 sector 15 new chandigarh mullanpur in gated society 265 sqyd residential plot available for sale at omaxe phase 3 sector 15 new chandiga...,New Chandigarh,"East Facing, Overlooking Main Road",I,2 Cr,Omaxe,Residential Land,265
Rishi Properties & Builders,"Planning to build residence in chandigarh? This plot in mullanpur is the best deal for you. It spans over spectacular 217 sq.Ft. Super built up area. Corner plot, construction on this property can be ...",Mullanpur,"Close to School, Close to Hospital, Close to Market, Corner Property",Q,1.25 Cr,Altus Muirwood Ecocity,Residential Land,217
Azaad Realtors,125 sq yards plot available in c pocket altus. #newchandigarh #mullanpur #altus #investment #realestate #medicity #stadium #chandigarh,Mullanpur,"East Facing, Close to School, Close to Hospital, Close to Market",I,80 Lac,Altus Muirwood Ecocity,Residential Land,1125
Motia Group,"8marla kothi north east facing sector 46a Build quality is perfect 3 floors with 3 rooms per floor With completion certificate With beautiful park in 10 meter distance Near to school, temple , hospita...",Sector 46 Chandigarh,"North-East Facing, Close to School, Fresh Construction, Close to Hospital",I,6.55 Cr,9 Bedroom House in Sector 46 Chandigarh,Independent House/Villa,8
Kreative Solutions,Gulnaar meadows is a premium boutique residential project of sav infosystems llp with unparalleled amenities and unmatched location in zirakpur on ambala - Chandigarh highway Located mere 1 minute fro...,Zirakpur,"East Facing, Gated Society, Overlooking Park/Garden, Fitness Center/ Gym",Q,1.16 Cr,"3 BHK Independent Builder Floor in Zirakpur, Chandigarh",Independent/Builder Floor,
ABS Infra Developers,"Beautiful 3 BHK apartments in Zirakpur, are now available in ABS Golden Era Home housing project. ABS Golden Era Home 's RERA registration number is PBRERA-SAS79-PR0996. ABS Golden Era Home apartments...",Zirakpur,"[{'score': 1759, 'subHeading': '2.8 km', 'caption': 'School', 'category': 'School', 'altTag': 'nearby School', 'srp': {'className': 'schl', 'imageName': 'https://static.99acres.com/universalapp/img/sc...","New Launch (Completion in Jan, 2029)",Price on Request,ABS Golden Era Home,,
Motia Group,"Looking for your dream home? Explore 3 BHK apartments in Zirakpur, now available in Motia Blue Ridge. Motia Blue Ridge has apartments in multiple configurations, in range of 1,611 - 1,721 sq.ft.. Apar...",Zirakpur,,"Ready To Move (Since Jun, 2021)",Price on Request,Motia Blue Ridge,,
Rishi Properties & Builders,This is your chance to a 4 bhk apartment / flat for sale in zirakpur chandigarh . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with ...,Zirakpur,"East Facing, Gated Society",I,70 Lac,Ansals Woodbury Apartments Zirakpur,Residential Apartment,
VS Group,Plot is east facing. Very close to dlf hyde park and distance of 300 metres from vr5 road. The share in society also includes a commercial portion subject to conditions,New Chandigarh,,I,3.15 Cr,Greater Punjab Society,Residential Land,475
VS Group,"Located in a peaceful place yet v near to market, hospital, facing park, rentable, 3 kms away from it park Handsome rental value as it is near to it park",Manimajra,"Gated Society, Overlooking Park/Garden, Marble Flooring",I,5.5 Cr,"Shivalik Enclave, NAC Sector 13",Independent House/Villa,253
VS Group,"An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in golden palms, dera bassi, india which ensures a relaxed and comfortable stay. Being an in...",Dera Bassi,"Gated Society, Overlooking Main Road, Vitrified Flooring",I,1.1 Cr,Golden Palms,Independent House/Villa,1650
Omaxe Infratech,"Land in Mullanpur are now available for sale in Omaxe Plots Phase 3. Property Staff, Vastu Compliant and 24/7 Water Supply are some of the top amenities available in this project. The dimensions of La...",Mullanpur,,Ready To Move,1.5 - 7.5 Cr,Omaxe Plots Phase 3,,
Rishi Properties & Builders,"I have a house/villa available for sale in dera bassi, mohali. Available at price of rs 75 lacs. It has plot area of 900 sq ft. It has 5 bhk, 5 bathroom, balcony.It is a freehold property",Dera Bassi,,I,75 Lac,sukhna enclave sec 9,Independent House/Villa,900
Motia Group,"Want to invest in Land in Dera Bassi? Check out Motia Grand, the city's best offering in this category. Land will be offered for possession from May, 2028. Sizes of these property options are in the b...",Dera Bassi,"[{'score': 1759, 'subHeading': '2km', 'caption': 'School', 'category': 'School', 'altTag': 'nearby School', 'srp': {'className': 'schl', 'imageName': 'https://static.99acres.com/universalapp/img/schl....","Under Construction (Completion in May, 2028)",37.91 - 56.86 L,Motia Grand,,
Rishi Properties & Builders,Location and direct park views,Dera Bassi,"North Facing, Gated Society, Corner Property",I,1.15 Cr,ATS Golf Meadows Lifestyle,Residential Apartment,
Suksha Developers,"Check out 3 BHK Apartment, 4 BHK Apartment and 3 BHK Independent Floor in Sushma Belleza, one of the best offerings in Zirakpur. Property prices here start from Rs. 1.61 Cr. Sushma Belleza possession ...",Zirakpur,"[{'score': 1750, 'subHeading': '15 m', 'caption': 'Shopping Center/ Market/ Mall', 'category': 'ShoppingCenter', 'altTag': 'nearby Shopping Center/ Market/ Mall', 'srp': {'className': 'shpng', 'imageN...","Under Construction (Completion in Dec, 2027)",1.61 - 1.97 Cr,Sushma Belleza,,
Kreative Solutions,Gulnaar meadows is a premium boutique residential project of sav infosystems llp with unparalleled amenities and unmatched location in zirakpur on ambala - Chandigarh highway Located mere 1 minute fro...,Zirakpur,"Gated Society, Overlooking Park/Garden, Fitness Center/ Gym, Club/ Community Center",Q,1.16 Cr,"3 BHK Independent Builder Floor in Zirakpur, Chandigarh",Independent/Builder Floor,
Malhotra Properties,Residential plot available for sale at omaxe ph3 mullanpur new chandigarh possession able in gated society with 3 tier security near to internatinal cricket stadium Residential land available for sale...,Mullanpur,Overlooking Main Road,I,2 Cr,Omaxe Plots Phase 3,Residential Land,265
Azaad Realtors,333 sq yards plot available in altus phase 2. Prime location plot.,New Chandigarh,"North-East Facing, Close to School, Overlooking Park/Garden, Overlooking Main Road",I,1.37 Cr,Altus Space Builders,Residential Land,2997
Rishi Properties & Builders,"510 gaj (17 marla) plot for sale in shivalik vihar, s-Block, nayagaon, (Mohali) punjab. Just 2km from chandigarh, 3km from panjab university, 4km from pgi hospital. Plot size 101 x 45. 20 wide road. G...",Naya Gaon,,I,1.16 Cr,"Residential land / Plot in Naya Gaon, Chandigarh",Residential Land,4545
Azaad Realtors,Available 136 sq yards plot in altus c pocket. Possession in 1 year. Book now by paying booking amount. #newchandigarh #mullanpur #altus #investment #realestate #medicity #stadium #chandigarh,Mullanpur,"Close to School, Close to Hospital, Close to Market, Overlooking Park/Garden",L,85 Lac,Altus Muirwood Ecocity,Residential Land,1224
Rishi Properties & Builders,"This 3 bhk builder floor located in new chandigarh, one of the prime locations in chandigarh, is available for sale. Equipped with 3 bedrooms, 3 bathrooms and 2 balconies. This property is furnished. ...",New Chandigarh,"North Facing, Ground Floor, Private Garden, Close to School",L,1.25 Cr,Omaxe Celestia Royal Premier,Independent/Builder Floor,1328
Rishi Properties & Builders,"This well designed 3 bhk builder floor in mullanpur, chandigarh, is a perfect place for your family. 3 bedrooms, 4 bathrooms and 2 balconies are present in this builder floor. This builder floor is se...",New Chandigarh,"East Facing, Ground Floor, Private Garden, Gated Society",L,1.45 Cr,Omaxe New Chandigarh Gardenia Floors,Independent/Builder Floor,1946
Malhotra Properties,300 sqyd residential plot available for sale at omaxe phase 3 in gated society at new chandigarh mullanpur,Mullanpur,"Close to School, Close to Market, Rain Water Harvesting",I,1.96 Cr,Omaxe New Chandigarh,Residential Land,300
Malhotra Properties,3bhk residential independent floor with servent room east facing available for sale at omaxe new chandigarh mullanpur project omaxe celestia royal 2 at top floor with roof top with lift in gated socie...,Mullanpur,"East Facing, Top Floor, Private Garden, bhawan vidialy within 1km",L,1.32 Cr,Omaxe Celestia Royal,Independent/Builder Floor,
Malhotra Properties,10.5 marla residential plot available for sale at omaxe phase 3 sector 15 new chandigarh mullanpur in gated society 265 sqyd residential plot available for sale at omaxe phase 3 sector 15 new chandiga...,New Chandigarh,"East Facing, Overlooking Main Road",I,2 Cr,Omaxe,Residential Land,265
Rishi Properties & Builders,"Planning to build residence in chandigarh? This plot in mullanpur is the best deal for you. It spans over spectacular 217 sq.Ft. Super built up area. Corner plot, construction on this property can be ...",Mullanpur,"Close to School, Close to Hospital, Close to Market, Corner Property",Q,1.25 Cr,Altus Muirwood Ecocity,Residential Land,217
Azaad Realtors,125 sq yards plot available in c pocket altus. #newchandigarh #mullanpur #altus #investment #realestate #medicity #stadium #chandigarh,Mullanpur,"East Facing, Close to School, Close to Hospital, Close to Market",I,80 Lac,Altus Muirwood Ecocity,Residential Land,1125
Motia Group,"8marla kothi north east facing sector 46a Build quality is perfect 3 floors with 3 rooms per floor With completion certificate With beautiful park in 10 meter distance Near to school, temple , hospita...",Sector 46 Chandigarh,"North-East Facing, Close to School, Fresh Construction, Close to Hospital",I,6.55 Cr,9 Bedroom House in Sector 46 Chandigarh,Independent House/Villa,8
Kreative Solutions,Gulnaar meadows is a premium boutique residential project of sav infosystems llp with unparalleled amenities and unmatched location in zirakpur on ambala - Chandigarh highway Located mere 1 minute fro...,Zirakpur,"East Facing, Gated Society, Overlooking Park/Garden, Fitness Center/ Gym",Q,1.16 Cr,"3 BHK Independent Builder Floor in Zirakpur, Chandigarh",Independent/Builder Floor,
ABS Infra Developers,"Beautiful 3 BHK apartments in Zirakpur, are now available in ABS Golden Era Home housing project. ABS Golden Era Home 's RERA registration number is PBRERA-SAS79-PR0996. ABS Golden Era Home apartments...",Zirakpur,"[{'score': 1759, 'subHeading': '2.8 km', 'caption': 'School', 'category': 'School', 'altTag': 'nearby School', 'srp': {'className': 'schl', 'imageName': 'https://static.99acres.com/universalapp/img/sc...","New Launch (Completion in Jan, 2029)",Price on Request,ABS Golden Era Home,,
Motia Group,"Looking for your dream home? Explore 3 BHK apartments in Zirakpur, now available in Motia Blue Ridge. Motia Blue Ridge has apartments in multiple configurations, in range of 1,611 - 1,721 sq.ft.. Apar...",Zirakpur,,"Ready To Move (Since Jun, 2021)",Price on Request,Motia Blue Ridge,,
VS Group,This is your chance to a 4 bhk apartment / flat for sale in zirakpur chandigarh . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with ...,Zirakpur,"East Facing, Gated Society",I,70 Lac,Ansals Woodbury Apartments Zirakpur,Residential Apartment,
VS Group,Plot is east facing. Very close to dlf hyde park and distance of 300 metres from vr5 road. The share in society also includes a commercial portion subject to conditions,New Chandigarh,,I,3.15 Cr,Greater Punjab Society,Residential Land,475
VS Group,"Located in a peaceful place yet v near to market, hospital, facing park, rentable, 3 kms away from it park Handsome rental value as it is near to it park",Manimajra,"Gated Society, Overlooking Park/Garden, Marble Flooring",I,5.5 Cr,"Shivalik Enclave, NAC Sector 13",Independent House/Villa,253
Malhotra Properties,"An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in golden palms, dera bassi, india which ensures a relaxed and comfortable stay. Being an in...",Dera Bassi,"Gated Society, Overlooking Main Road, Vitrified Flooring",I,1.1 Cr,Golden Palms,Independent House/Villa,1650
Omaxe Infratech,"Land in Mullanpur are now available for sale in Omaxe Plots Phase 3. Property Staff, Vastu Compliant and 24/7 Water Supply are some of the top amenities available in this project. The dimensions of La...",Mullanpur,,Ready To Move,1.5 - 7.5 Cr,Omaxe Plots Phase 3,,
Malhotra Properties,"I have a house/villa available for sale in dera bassi, mohali. Available at price of rs 75 lacs. It has plot area of 900 sq ft. It has 5 bhk, 5 bathroom, balcony.It is a freehold property",Dera Bassi,,I,75 Lac,sukhna enclave sec 9,Independent House/Villa,900
Motia Group,"Want to invest in Land in Dera Bassi? Check out Motia Grand, the city's best offering in this category. Land will be offered for possession from May, 2028. Sizes of these property options are in the b...",Dera Bassi,"[{'score': 1759, 'subHeading': '2km', 'caption': 'School', 'category': 'School', 'altTag': 'nearby School', 'srp': {'className': 'schl', 'imageName': 'https://static.99acres.com/universalapp/img/schl....","Under Construction (Completion in May, 2028)",37.91 - 56.86 L,Motia Grand,,
VS Group,Location and direct park views,Dera Bassi,"North Facing, Gated Society, Corner Property",I,1.15 Cr,ATS Golf Meadows Lifestyle,Residential Apartment,
Suksha Developers,"Check out 3 BHK Apartment, 4 BHK Apartment and 3 BHK Independent Floor in Sushma Belleza, one of the best offerings in Zirakpur. Property prices here start from Rs. 1.61 Cr. Sushma Belleza possession ...",Zirakpur,"[{'score': 1750, 'subHeading': '15 m', 'caption': 'Shopping Center/ Market/ Mall', 'category': 'ShoppingCenter', 'altTag': 'nearby Shopping Center/ Market/ Mall', 'srp': {'className': 'shpng', 'imageN...","Under Construction (Completion in Dec, 2027)",1.61 - 1.97 Cr,Sushma Belleza,,
Kreative Solutions,Gulnaar meadows is a premium boutique residential project of sav infosystems llp with unparalleled amenities and unmatched location in zirakpur on ambala - Chandigarh highway Located mere 1 minute fro...,Zirakpur,"Gated Society, Overlooking Park/Garden, Fitness Center/ Gym, Club/ Community Center",Q,1.16 Cr,"3 BHK Independent Builder Floor in Zirakpur, Chandigarh",Independent/Builder Floor,
Malhotra Properties,Residential plot available for sale at omaxe ph3 mullanpur new chandigarh possession able in gated society with 3 tier security near to internatinal cricket stadium Residential land available for sale...,Mullanpur,Overlooking Main Road,I,2 Cr,Omaxe Plots Phase 3,Residential Land,265
Azaad Realtors,333 sq yards plot available in altus phase 2. Prime location plot.,New Chandigarh,"North-East Facing, Close to School, Overlooking Park/Garden, Overlooking Main Road",I,1.37 Cr,Altus Space Builders,Residential Land,2997
Malhotra Properties,"510 gaj (17 marla) plot for sale in shivalik vihar, s-Block, nayagaon, (Mohali) punjab. Just 2km from chandigarh, 3km from panjab university, 4km from pgi hospital. Plot size 101 x 45. 20 wide road. G...",Naya Gaon,,I,1.16 Cr,"Residential land / Plot in Naya Gaon, Chandigarh",Residential Land,4545
Azaad Realtors,Available 136 sq yards plot in altus c pocket. Possession in 1 year. Book now by paying booking amount. #newchandigarh #mullanpur #altus #investment #realestate #medicity #stadium #chandigarh,Mullanpur,"Close to School, Close to Hospital, Close to Market, Overlooking Park/Garden",L,85 Lac,Altus Muirwood Ecocity,Residential Land,1224
Rishi Properties & Builders,"This 3 bhk builder floor located in new chandigarh, one of the prime locations in chandigarh, is available for sale. Equipped with 3 bedrooms, 3 bathrooms and 2 balconies. This property is furnished. ...",New Chandigarh,"North Facing, Ground Floor, Private Garden, Close to School",L,1.25 Cr,Omaxe Celestia Royal Premier,Independent/Builder Floor,1328
Rishi Properties & Builders,"This well designed 3 bhk builder floor in mullanpur, chandigarh, is a perfect place for your family. 3 bedrooms, 4 bathrooms and 2 balconies are present in this builder floor. This builder floor is se...",New Chandigarh,"East Facing, Ground Floor, Private Garden, Gated Society",L,1.45 Cr,Omaxe New Chandigarh Gardenia Floors,Independent/Builder Floor,1946
